district_name,date,dem_percent,rep_percent,sample_size,registered_voter,pollster_lean,pollster_grade,pollster_name
NJ-03,8/9/2018,0.46,0.44,300,Likely,-0.014,A,Monmouth University
NM-02,9/18/2018,0.46,0.45,503,Likely,-0.001,A,Siena College
PA-01,5/14/2018,0.46,0.48,540,Likely,0.035,C,DCCC Targeting Team
ND-01,10/2/2018,0.34,0.51,704,Likely,0.016,A,Fox News/Anderson Robbins Research/Shaw & Co. Research
UT-02,8/31/2018,0.34,0.45,202,Likely,-0.002,C,Dan Jones & Associates
NC-02,9/8/2018,0.44,0.43,538,Likely,0.03,A,SurveyUSA
MN-02,8/21/2018,0.45,0.46,400,Likely,0.064,B,Wilson Perkins Allen Opinion Research
GA-07,8/13/2018,0.46,0.44,400,Likely,-0.057,B,Tulchin Research
NJ-11,9/27/2018,0.46,0.43,400,Likely,0.025,B,National Research Inc. 
NC-13,9/13/2018,0.46,0.42,537,Likely,-0.035,C,DCCC Targeting Team
NY-19,6/28/2018,0.49,0.42,545,Likely,-0.035,C,DCCC Targeting Team
NJ-03,9/5/2018,0.47,0.45,523,Likely,-0.035,C,DCCC Targeting Team
ME-02,7/30/2018,0.46,0.46,400,Likely,-0.042,B,Mellman Group
UT-02,8/27/2018,0.27,0.49,600,Registered,-0.006,D,Lighthouse Research
MI-06,8/25/2018,0.44,0.49,500,Likely,-0.022,C,Global Strategy Group
NY-22,11/10/2017,0.47,0.41,599,Voters,-0.021,B,Public Policy Polling
MN-03,9/29/2018,0.49,0.44,607,Likely,0.003,A,SurveyUSA
PA-07,9/25/2018,0.5,0.42,539,Likely,-0.001,A,Siena College
WV-01,9/15/2018,0.14,0.43,275,Registered,-0.009,B,Emerson College
ND-01,9/27/2018,0.31,0.55,650,Likely,0.025,D,Strategic Research Associates
NJ-11,7/22/2018,0.42,0.36,400,Likely,0.025,B,National Research Inc.
NJ-03,9/26/2018,0.49,0.39,499,Likely,-0.001,A,Siena College
UT-02,6/18/2018,0.24,0.48,147,Registered,-0.004,D,University of Utah
NM-02,9/13/2018,0.41,0.48,405,Likely,0.003,A,Research & Polling Inc.
PA-17,7/22/2018,0.54,0.39,355,Likely,0.014,A,Monmouth University
ND-01,9/11/2018,0.34,0.48,701,Likely,0.016,A,Fox News/Anderson Robbins Research/Shaw & Co. Research
MI-07,2/21/2018,0.37,0.41,400,Registered,-0.035,C,DCCC Targeting Team
NJ-11,6/25/2018,0.45,0.39,339,Likely,-0.014,A,Monmouth University
NY-24,8/23/2018,0.39,0.54,513,Likely,-0.001,A,Sienna College
OH-01,10/1/2018,0.41,0.5,503,Likely,-0.1,A,Siena College
NC-13,7/16/2018,0.35,0.4,537,Likely,0.003,A,SurveyUSA
PA-07,9/9/2018,0.48,0.45,299,Likely,-0.0014,A,Monmouth University
UT-03,8/31/2018,0.19,0.65,188,Adults,-0.002,C,Dan Jones & Associates
MN-03,9/17/2018,0.51,0.42,500,Voters,-0.021,B,Public Policy Polling
NJ-05,8/12/2018,0.36,0.39,400,Registered,0.042,B,Tel Opinion Research
WV-01,6/19/2018,0.24,0.72,72,Likely,-0.014,A,Monmouth University
NM-01,9/13/2018,0.49,0.41,410,Likely,0.003,A,Research & Polling Inc.
UT-03,8/27/2018,0.2,0.52,600,Registered,-0.006,D,Lighthouse Research
MN-03,9/9/2018,0.51,0.42,500,Likely,-0.001,A,Siena College
NY-24,7/27/2018,0.47,0.43,785,Voters,-0.021,B,Public Policy Polling
NM-02,6/16/2018,0.35,0.49,334,Likely,0.025,D,Carroll Strategies 
MI-08,10/3/2018,0.44,0.47,501,Likely,-0.001,A,Siena College
ND-01,8/28/2018,0.32,0.53,506,Likely,0.049,D,Axis Research
PA-07,5/3/2018,0.42,0.31,408,Registered,-0.0016,A,Muhlenburg College
NJ-07,6/25/2018,0.47,0.45,500,Likely,-0.017,B,Greenberg Quinlan Rosner (Democracy Corps)
OH-01,9/20/2018,0.39,0.46,400,Likely,0.036,B,American Viewpoint
MN-03,2/13/2018,0.46,0.43,664,Voters,-0.021,B,Public Policy Polling
NC-13,4/17/2018,0.4,0.43,668,Voters,-0.021,B,Public Policy Polling
WV-02,9/15/2018,0.24,0.32,277,Registered,-0.009,B,Emerson College
NY-25,8/19/2018,0.55,0.31,500,Likely,-0.001,A,Siena College
ND-01,6/15/2018,0.35,0.46,625,Registered,-0.003,B,Mason-Dixon Polling & Research Inc.
NJ-07,9/17/2018,0.47,0.42,365,Likely,-0.014,A,Monmouth University
MN-03,11/10/2018,0.46,0.42,542,Voters,-0.021,B,Public Policy Polling
NM-01,6/16/2018,0.47,0.43,419,Likely,0.025,D,Carroll Strategies
MS-04,7/31/2018,0.37,0.54,525,Likely,0.041,C,Triumph Campaigns
UT-04,9/8/2018,0.42,0.51,405,Likely,0.038,B,Y2 Analytics
NM-02,6/11/2018,0.43,0.45,456,Registered,-0.035,C,DCCC Targeting Team
MI-08,9/20/2018,0.47,0.43,400,Likely,-0.017,B,Greenberg Quinlan Rosner (Democracy Corps)
WV-02,6/19/2018,0.38,0.52,112,Likely,-0.014,A,Monmouth University
ND-01,5/14/2018,0.28,0.48,509,Likely,0.049,D,Axis Research
NJ-07,9/21/2018,0.44,0.45,504,Likely,-0.001,A,Siena College
MS-03,7/31/2018,0.27,0.56,525,Likely,0.041,C,Triumph Campaigns
OH-01,9/13/2018,0.46,0.44,500,Likely,-0.01,B,GBA Strategies
UT-04,9/6/2018,0.46,0.49,400,Likely,-0.002,C,Dan Jones & Associates
MI-08,9/18/2018,0.43,0.45,400,Likely,0.033,B,Public Opinion Strategies
WV-03,9/16/2018,0.48,0.44,540,Likely,-0.035,C,DCCC Targeting Team 
UT-04,8/27/2018,0.38,0.48,600,Registered,-0.006,D,Lighthouse Research
MN-08,9/30/2018,0.45,0.44,400,Likely,-0.027,B,Victoria Research & Consulting
MS-02,7/31/2018,0.51,0.22,525,Likely,0,C,Triumph Campaigns
MN-08,9/9/2018,0.44,0.43,504,Likely,-0.001,A,Siena College
WV-03,9/15/2018,0.36,0.31,274,Registered,-0.009,B,Emerson College
UT-04,8/23/2018,0.44,0.46,400,Likely,-0.042,B,Mellman Group
MS-01,7/31/2018,0.28,0.57,525,Likely,0.041,C,Triumph Campaigns
PA-10,9/25/2018,0.43,0.44,650,Voters,-0.0021,B,Public Policy Polling
OH-01,4/17/2018,0.42,0.43,662,Voters,-0.021,B,Public Policy Polling
UT-04,6/18/2018,0.39,0.45,379,Registered,-0.004,D,University of Utah
WV-03,9/10/2018,0.4,0.48,499,Likely,-0.001,A,Siena College
UT-04,6/5/2018,0.43,0.47,405,Likely,-0.002,C,Dan Jones & Associates
MI-08,8/23/2018,0.44,0.49,400,Likely,-0.017,B,Greenberg Quinlan Rosner (Democracy Corps)
WV-03,6/19/2018,0.48,0.4,343,Likely,-0.014,A,Monmouth University
PA-10,6/10/2018,0.41,0.45,654,Likely,-0.0021,B,Public Policy Polling
OH-01,1/16/2018,0.44,0.51,400,Likely,-0.01,B,GBA Strategies
UT-04,3/4/2018,0.4,0.43,400,Likely,-0.042,B,Mellman Group
UT-04,2/21/2018,0.43,0.49,404,Registered,-0.002,C,Dan Jones & Associates
MI-08,4/17/2018,0.41,0.46,668,Voters,-0.021,B,Public Policy Polling
PA-16,6/7/2018,0.44,0.5,400,Likely,-0.024,D,"Normington, Petts & Associates"
PA-11,9/13/2018,0.35,0.44,522,Voters,-0.0021,B,Public Policy Polling
UT-04,1/22/2018,0.42,0.47,400,Registered,-0.002,C,Dan Jones & Associates
PA-16,5/22/2018,0.43,0.48,623,Registered,-0.021,B,Public Policy Polling
DE-01,9/17/2018,0.58,0.28,728,Likely,-0.099,D,University of Delaware
MI-08,4/5/2018,0.39,0.45,400,Registered,0.013,C,Target Insyght
DE-01,7/29/2018,0.46,0.38,884,Likely,0.021,C,Gravis Marketing
TX-06,7/28/2018,0.39,0.48,576,Voters,-0.021,B,Public Policy Polling
CO-06,9/14/2018,0.49,0.38,400,Likely,-0.024,B,"Normington, Petts & Associates"
IN-03,5/31/2018,0.34,0.55,401,Likely,0.065,B,	Wilson Perkins Allen Opinion Research 
TX-23,9/11/2018,0.43,0.51,495,Likely,-0.001,A,Siena College
CA-22,6/24/2018,0.41,0.49,632,Likely,-0.021,B,Public Policy Polling
IA-01,9/20/2018,0.52,0.37,502,Likely,-0.001,A,Siena College
OK-01,9/25/2018,0.32,0.54,306,Likely,0.003,B,SoonerPoll.com
MO-02,8/26/2018,0.43,0.41,402,Likely,-0.053,D,Expedition Strategies
TX-31,10/2/2018,0.33,0.54,352,Registered,0.001,A,Siena College
CA-22,7/17/2018,0.41,0.53,500,Likely,-0.03,B,Strategies 360
FL-15,9/27/2018,0.46,0.49,500,Likely,0.008,D,Bold Blue Campaigns
TX-31,10/2/2018,0.36,0.54,352,Likely,0.001,A,Siena College
TX-07,9/18/2018,0.47,0.45,562,Voters,-0.021,B,Public Policy Polling
MO-02,8/23/2018,0.4,0.51,983,Likely,0.027,C,Remington Research Group
CO-06,9/14/2018,0.51,0.4,500,Likely,-0.001,A,Siena College
CA-39,9/23/2018,0.49,0.48,552,Likely,-0.025,D,UC Berkeley
AZ-02,10/1/2018,0.5,0.39,502,Likely,0.001,A,Siena College
OK-02,9/25/2018,0.32,0.46,245,Likely,0.003,B,SoonerPoll.com
FL-15,9/8/2018,0.48,0.47,400,Likely,-0.018,B,Greenberg Quinlan Rosner (Democracy Corps)
CA-22,7/25/2018,0.43,0.48,400,Likely,-0.053,B,Tulchin Research
CO-06,9/13/2018,0.44,0.43,400,Registered,0.05,B,Tarrance Group
IA-01,9/8/2018,0.43,0.38,250,Registered,-0.009,B,Emerson College
CA-39,9/16/2018,0.42,0.5,300,Likely,-0.011,A,Monmouth University
LA-03,8/30/2018,0.62,0.8,1417,Likely,-0.011,C, Trafalgar Group
CA-22,9/13/2018,0.44,0.5,402,Likely,-0.03,B,Strategies 360
FL-27,9/13/2018,0.42,0.51,400,Likely,0.052,C,McLaughlin & Associates
TX-31,10/2/2018,0.33,0.54,400,Likely,0.05,B,Tarrance Group*
TX-07,9/18/2018,0.45,0.48,500,Likely,-0.001,A,Siena College
FL-12,7/28/2018,0.3,0.49,615,Registered,-0.002,B,St. Pete Polls
OK-03,9/25/2018,0.24,0.54,267,Likely,0.003,B,SoonerPoll.com
FL-16,10/2/2018,0.4,0.49,551,Likely,-0.004,A,University of North Florida
IL-06,9/10/2018,0.47,0.44,402,Likely,-0.031,B,Garin-Hart-Yang Research Group
NV-04,7/22/2018,0.49,0.4,500,Likely,-0.016,C,Global Strategy Group
TX-32,9/24/2018,0.47,0.48,500,Likely,-0.001,A,Siena College
CA-39,8/6/2018,0.53,0.42,600,Likely,-0.053,B,Tulchin Research
TX-10,8/4/2018,0.36,0.39,524,Registered,-0.038,D,Blink Insights
IA-01,2/14/2018,0.47,0.41,400,Registered,-0.034,C,DCCC Targeting Team
FL-27,9/4/2018,0.46,0.42,600,Likely,-0.051,B,Bendixen & Amandi International
FL-16,10/1/2018,0.43,0.5,1248,Likely,0.002,B,St. Pete Polls
OK-04,9/25/2018,0.25,0.58,291,Likely,0.003,B,SoonerPoll.com
MT-01,9/22/2018,0.42,0.51,710,Likely,0.021,C,Gravis Marketing
CA-22,9/23/2018,0.45,0.53,912,Likely,-0.025,D,UC Berkeley
TX-07,5/31/2018,0.45,0.47,404,Likely,-0.034,C,DCCC Targeting Team
TX-31,10/2/2018,0.42,0.46,500,Likely,-0.044,C,Anzalone Liszt Grove Research 
NV-04,7/22/2018,0.42,0.32,500,Likely,-0.016,C,Global Strategy Group
IL-12,4/17/2018,0.39,0.44,622,Voters,-0.021,B,Public Policy Polling
TX-32,9/23/2018,0.49,0.47,600,Likely,-0.009,B,GBA Strategies
FL-16,8/25/2018,0.44,0.48,400,Likely,-0.044,C,Anzalone Liszt Grove Research
CA-07,6/14/2018,0.5,0.41,400,Likely,0.037,B,Public Opinion Strategies
NV-04,8/7/2018,0.41,0.41,400,Likely,0.044,B,Moore Information
CA-39,6/10/2018,0.43,0.45,536,Likely,-0.034,C,DCCC Targeting Team 
KS-01,9/28/2018,0.17,0.44,193,Registered,-0.009,B,Emerson College
IA-01,2/13/2018,0.43,0.42,742,Voters,-0.021,B,Public Policy Polling
TX-31,11/29/2017,0.4,0.46,613,Voters,-0.021,B,Public Policy Polling
AZ-01,9/28/2018,0.36,0.39,738,Likely,0.041,D,Go Right Strategies
FL-19,9/12/2018,0.42,0.51,468,Registered,-0.062,C,Change Research
FL-16,7/28/2018,0.35,0.44,681,Likely,0.02,B,St. Pete Polls
IA-04,9/9/2018,0.37,0.43,380,Likely,-0.053,D,Expedition Strategies 
CA-22,9/25/2018,0.41,0.55,582,Likely,0.005,A,SurveyUSA
CA-39,1/11/2018,0.38,0.41,761,Likely,0.027,C,Remington Research Group
NV-04,1/9/2018,0.42,0.37,400,Registered,-0.034,D,DCCC Targeting Team
TX-21,7/9/2018,0.27,0.33,672,Registered,-0.054,C,Change Research
FL-26,9/27/2018,0.49,0.48,500,Likely,-0.018,B,Greenberg Quinlan Rosner (Democracy Corps)
OK-05,9/25/2018,0.37,0.5,1407,Likely,0.041,D,VCreek/AMG
TX-32,9/18/2018,0.47,0.42,555,Voters,-0.021,B,Public Policy Polling
FL-16,4/17/2018,0.37,0.49,655,Voters,-0.021,B,Public Policy Polling
IL-12,9/6/2018,0.43,0.44,533,Likely,0.001,A,Sienna College
FL-26,9/19/2018,0.46,0.45,511,Voters,-0.021,B,Public Policy Polling
OK-05,9/25/2018,0.37,0.47,303,Likely,0.003,B,SoonerPoll.com
CA-25,9/23/2018,0.5,0.46,650,Likely,0.025,D,UC Berkeley
FL-26,9/17/2018,0.44,0.47,509,Likely,-0.001,A,Siena College
NE-02,9/30/2018,0.45,0.49,400,Likely,-0.018,B,Greenberg Quinlan Rosner (Democracy Corps)
TX-32,8/1/2018,0.45,0.47,500,Likely,-0.009,B,GBA Strategies
IA-04,9/8/2018,0.31,0.41,240,Registered,-0.09,B,Emerson College
IL-12,9/27/2018,0.43,0.44,574,Likely,0.034,D,DCCC Targeting Team
FL-18,9/30/2018,0.45,0.48,400,Likely,-0.016,C,Global Strategy Group
CA-24,7/15/2018,0.47,0.46,404,Likely,0.041,D,Olive Tree Strategies
CA-10,9/23/2018,0.5,0.45,726,Likely,-0.025,D,UC Berkeley
KS-01,9/22/2018,0.33,0.44,400,Likely,-0.078,D,Jayhawk Consulting
FL-18,9/16/2018,0.44,0.5,600,Likely,-0.016,C,Global Strategy Group
AZ-04,9/25/2018,0.25,0.57,370,Likely,0.008,C,OH Predictive Insights/MBQF 
FL-18,5/6/2018,0.34,0.52,600,Likely,-0.016,C,Global Strategy Group
FL-26,7/22/2018,0.41,0.48,500,Likely,-0.009,B,GBA Strategies
CA-25,9/19/2018,0.45,0.47,500,Likely,-0.01,A,Siena College
OK-05,9/6/2018,0.35,0.49,1182,Likely,0.041,D,VCreek/AMG
IL-13,4/17/2018,0.42,0.45,726,Voters,0.021,B,Public Policy Polling
FL-18,9/19/2018,0.43,0.46,533,Voters,-0.025,B,Public Policy Polling
IA-02,9/11/2018,0.45,0.38,425,Adults,0.031,C,Gravis Marketing
FL-06,9/19/2018,0.43,0.48,981,Registered,0.002,B,St. Pete Polls
IL-14,4/17/2018,0.41,0.45,682,Voters,-0.021,B,Public Policy Polling
FL-26,3/22/2018,0.4,0.45,400,Registered,-0.034,C,DCCC Targeting Team
CA-25,7/12/2018,0.47,0.47,400,Registered,0.017,C,IMGE Insights
CA-10,7/1/2018,0.48,0.48,501,Likely,-0.031,B,Garin-Hart Yang Research Group
SC-01,8/31/2018,0.42,0.49,628,Voters,-0.021,B,Public Policy Polling
KS-02,9/15/2018,0.45,0.44,500,Likely,-0.001,A,Siena College
CA-45,9/25/2018,0.48,0.43,518,Likely,0.0049,A,Siena College
CA-45,9/25/2018,0.48,0.43,518,Likely,0.0049,A,Siena College
IA-02,9/8/2018,0.45,0.21,250,Registered,-0.009,B,Emerson College
IA-03,9/30/2018,0.44,0.43,502,Likely,-0.001,A,Siena College
NE-02,9/26/2018,0.42,0.51,512,Likely,-0.001,A,Siena College
CA-25,6/21/2018,0.4,0.45,400,Likely,-0.016,C,Global Strategy Group
FL-25,9/19/2018,0.36,0.41,541,Voters,-0.021,B,Public Policy Polling
VA-09,6/28/2018,0.41,0.48,400,Likely,0.038,D,Thirty-ninth Street Strategies
FL-25,5/23/2018,0.39,0.46,650,Voters,-0.021,B,Public Policy Polling
IL-06,9/6/2018,0.44,0.45,512,Likely,-0.001,A,Siena College
IA-03,9/8/2018,0.31,0.47,260,Registered,-0.009,B,Emerson College
CA-25,2/15/2018,0.5,0.4,283,Registered,-0.021,B,Public Policy Polling
KS-02,9/28/2018,0.35,0.31,243,Registered,0.009,B,Emerson College
CA-25,1/28/2018,0.53,0.4,650,Likely,-0.056,B,"Fairbank, Maslin, Maullin, Metz & Associates"
IA-03,9/5/2018,0.46,0.43,575,Likely,-0.034,C,DCCC Targeting Team
CA-48,9/23/2018,0.48,0.48,623,Likely,-0.0028,D,UC Berkeley
IL-06,9/6/2018,0.4,0.39,512,Registered,-0.001,A,Siena College
FL-06,9/6/2018,0.46,0.47,400,Likely,-0.018,B,Greenberg Quinlan Rosner (Democracy Corps)
SD-01,9/5/2018,0.33,0.54,400,Likely,0.037,B,Public Opinion Strategies
CO-06,7/17/2018,0.47,0.45,506,Likely,-0.016,C,Global Strategy Group
VA-10,3/21/2018,0.46,0.43,400,Registered,-0.034,C,DCCC Targeting Team
SD-01,7/20/2018,0.33,0.43,641,Registered,-0.021,B,Public Policy Polling
IA-03,7/12/2018,0.45,0.41,500,Likely,-0.044,C,Anzalone Liszt Grove Research
CA-49,9/23/2018,0.51,0.41,507,Likely,0.0093,A,Siena College
CO-06,7/12/2018,0.45,0.45,400,Registered,0.0017,C,IMGE Insight
VA-10,6/24/2018,0.51,0.41,338,Likely,-0.011,A,Monmouth University
IL-06,7/25/2018,0.37,0.44,600,Likely,0.019,D,Victory Research
CO-06,2/15/2018,0.44,0.39,751,Registered,-0.021,B,Public Policy Polling
CA-50,10/1/2018,0.44,0.45,400,Likely,-0.006,B,Tulchin Research
VA-10,10/2/2018,0.52,0.43,752.5,Likely,-0.031,B,Christopher Newport University
CO-06,7/11/2018,0.41,0.44,400,Likely,-0.0024,B,"Normington, Petts, and Associates"
VA-10,9/30/2018,0.51,0.44,374,Likely,0.011,A,Monmouth University
IL-06,4/23/2018,0.44,0.45,401,Likely,-0.031,B,Garin-Hart-Yang Research Group
KS-03,8/15/2018,0.48,0.43,400,Likely,-0.016,C,Global Strategy Group
FL-07,8/30/2018,0.47,0.46,435,Registered,0.002,B,St. Pete Polls
KS-03,9/20/2018,0.4,0.43,610,Likely,0.042,D,Remington Research Group
KS-03,9/23/2018,0.51,0.43,494,Likely,-0.001,A,Siena College
VA-02,10/1/2018,0.41,0.49,500,Likely,-0.001,A,Siene College
KS-03,9/28/2018,0.47,0.41,246,Registered,-0.009,B,Emerson College
MT-01,9/16/2018,0.45,0.46,950,Likely,0.006,B,Benenson Strategy Group
MT-01,9/22/2018,0.42,0.51,710,Likely,0.021,C,Gravis Marketing
NH-01,9/27/2018,0.4,0.42,400,Likely,0.059,C,OnMessage Inc.
VA-02,9/28/2018,0.46,0.46,758,Likely,-0.035,C,Change Research
KS-04,7/19/2018,0.38,0.42,1896,Likely,0.054,D,Change Research
VA-02,9/8/2018,0.51,0.43,404,Likely,-0.031,B,Garin-Hart-Yang Research Group
NH-01,9/26/2018,0.55,0.33,400,Registered,-0.05,C,American Research Group
VA-02,7/1/2018,0.44,0.48,404,Likely,-0.031,B,Garin-Hart-Yang Research Group
KS-04,9/28/2018,0.26,0.5,256,Registered,0.009,B,Emerson College
VA-02,4/17/2018,0.42,0.48,609,Voters,-0.021,B,Public Policy Polling 
VA-07,9/24/2018,0.48,0.46,329,Likely,-0.011,A,Monmout University
VA-07,9/20/2018,0.47,0.47,400,Likely,-0.024,B,"Normington, Petts, & Associates"
VA-07,9/12/2018,0.43,0.47,501,Likely,-0.001,A,Siena College
PA-16,10/6/2018,0.36,0.53,270,Registered,0.0001,A,Siena College
PA-16,10/6/2018,0.42,0.5,270,Likely,0.0001,A,Siena College
NY-01,10/6/2018,0.39,0.44,265,Registered,0.0001,A,Siena College
NY-01,10/6/2018,0.43,0.47,265,Likely,0.0001,A,Siena College
NC-13,10/6/2018,0.39,0.4,435,Registered,0.0001,A,Siena College
NC-13,10/6/2018,0.42,0.46,435,Likely,0.0001,A,Siena College
IL-14,10/6/2018,0.39,0.39,334,Registered,0.0001,A,Siena College
IL-14,10/6/2018,0.42,0.45,334,Likely,0.0001,A,Siena College
TX-23,10/4/2018,0.3,0.55,400,Likely,0,D,GS Strategy group
NM-02,10/2/2018,0.45,0.49,400,Likely,-0.007,B,Tarrance Group
FL-26,10/1/2018,0.5,0.48,500,Likely,0,B,GBA Strategies
NC-09,10/4/2018,0.45,0.41,556,Likely,0.0001,A,Survey USA
IL-13,10/4/2018,0.48,0.49,500,Likely,0,B,GBA Strategies
IL-13,9/11/2018,0.48,0.51,500,Likely,0,B,GBA Starategies
CA-39,10/2/2018,0.48,0.47,400,Likely,-0.049,B,Tulchin Research
IL-06,10/1/2018,0.49,0.44,400,Likely,0.0016,B,Garin-Hart-Yang
MT-01,8/31/2018,0.51,0.38,466,Likely,0,D,University pf Montana
WI-01,6/15/2018,0.41,0.4,401,Likely,0.007,C,Global Strategy Group
KY-06,10/2/2018,0.51,0.41,501,Likely,0.0001,B,Garin-Hart-Yang Research Group*
FL-16,10/2/2018,0.4,0.49,551,Likely,-0.0033,A,University of North Florida
VA-10,10/2/2018,0.51,0.44,794,Likely,0,B,Christopher Newport University
CA-50,10/1/2018,0.44,0.45,400,Likely,-0.0049,B,Tulchin Research
NE-02,9/30/2018,0.45,0.49,400,Likely,-0.0017,B,Greenberg Quinlan Rosher
NH-01,9/27/2018,0.4,0.42,400,Likely,0.0058,C,Onmessage
CA-10,9/23/2018,0.5,0.45,726,Likely,-0.0025,D,UC Berkley
CA-50,9/23/2018,0.47,0.49,527,Likely,-0.0025,D,UC Berkley
CA-49,9/23/2018,0.55,0.41,551,Likely,-0.0025,D,UC Berkley
CA-48,9/23/2018,0.48,0.48,623,Likely,-0.0025,D,UC Berkley
CA-45,9/23/2018,0.52,0.45,519,Likely,-0.0025,D,UC Berkley
CA-39,9/23/2018,0.49,0.48,552,Likely,-0.0025,D,UC Berkley
CA-25,9/23/2018,0.5,0.46,650,Likely,-0.0025,D,UC Berkley
CA-22,9/23/2018,0.45,0.53,912,Likely,-0.0025,D,UC Berkley
FL-18,9/10/2018,0.44,0.5,600,Likely,-0.0017,C,Global Strategy Group
KY-06,10/8/2018,0.45,0.48,400,Likely,0.0036,B,Public Opinion Strategies
FL-16,10/7/2018,0.42,0.52,400,Likely,0.0036,B,Public Opinion Strategies
NJ-11,10/7/2018,0.48,0.43,356,Likely,-0.0008,A,Monmouth University
PA-07,10/7/2018,0.5,0.31,405,Likely,-0.0034,D,Desales University
AK-01,10/6/2018,0.46,0.5,500,Likely,-0.0006,D,Alaska Survey Research
VA-10,10/5/2018,0.55,0.43,866,Likely,-0.0021,A,Washington Post
FL-15,10/4/2018,0.39,0.45,418,Likely,0.0063,B,Wilson Perkins Allen
NE-02,10/2/2018,0.4,0.49,400,Registered,0.0037,D,Meeting Street Research
